Date,Open,High,Low,Close,Adj Close,Volume
2009-07-06,6.872896,6.944445,6.784512,6.923401,6.870859,42490900
2009-07-07,6.944445,6.982323,6.670876,6.696128,6.645310,43955700
2009-07-08,6.750842,6.902357,6.679293,6.742424,6.691255,42324400
2009-07-09,6.767677,6.839226,6.637206,6.771885,6.720493,42248100
2009-07-10,6.738215,6.914983,6.738215,6.860270,6.808206,38868900
2009-07-13,6.860270,7.070707,6.776094,7.053872,7.000340,42295800
2009-07-14,7.070707,7.209596,7.011785,7.192761,7.138175,53740600
2009-07-15,7.247475,7.554714,7.205387,7.504209,7.447258,60581100
2009-07-16,7.420033,7.933502,7.411616,7.819865,7.760520,79991800
2009-07-17,7.874579,7.878788,7.706229,7.807239,7.747990,29496800
2009-07-20,7.828283,7.946128,7.735690,7.925084,7.864940,29328800
2009-07-21,7.954545,7.992424,7.803030,7.967172,7.906708,46220000
2009-07-22,7.891414,8.207070,7.870370,8.186027,8.123902,82395800
2009-07-23,8.851010,9.078282,8.720539,9.057240,8.988503,138009700
2009-07-24,8.943603,9.019361,8.867846,8.939394,8.871552,45697800
2009-07-27,8.989899,9.242424,8.939394,9.162457,9.092923,44204200
2009-07-28,9.006734,9.255051,8.985690,9.191919,9.122161,45784800
2009-07-29,9.086700,9.284512,8.973064,9.006734,8.938381,34267100
2009-07-30,9.124579,9.284512,9.053030,9.116161,9.046978,39052600
2009-07-31,9.120370,9.120370,8.939394,8.943603,8.875729,42835700
2009-08-03,9.343434,9.351851,9.141414,9.276094,9.205698,60635200
2009-08-04,9.196128,9.284512,9.078282,9.191919,9.122161,37388900
2009-08-05,9.141414,9.225589,8.914142,9.095118,9.026094,49181700
2009-08-06,9.031986,9.515993,9.002525,9.457070,9.385300,62619900
2009-08-07,9.570707,9.739058,9.478114,9.490741,9.418715,55578900
2009-08-10,9.537037,9.537037,9.322391,9.465488,9.393655,31006300
2009-08-11,9.410774,9.465488,9.259259,9.309764,9.239112,37859400
2009-08-12,9.322391,9.511785,9.284512,9.402357,9.331001,35102700
2009-08-13,9.494949,9.499158,9.263468,9.326599,9.255818,35779400
2009-08-14,9.309764,9.330808,9.048821,9.107744,9.038625,36561100
2009-08-17,8.884680,9.027778,8.653198,8.771044,8.704480,47988500
2009-08-18,8.800505,8.876263,8.733165,8.821548,8.754601,28196200
2009-08-19,8.712121,8.926767,8.648990,8.893098,8.825607,34806400
2009-08-20,8.851010,9.044613,8.851010,9.006734,8.938381,21965800
2009-08-21,9.082492,9.301347,8.964646,9.292930,9.222404,38016000
2009-08-24,9.288720,9.431818,9.288720,9.356061,9.285057,25257800
2009-08-25,9.364478,9.478114,9.297138,9.389730,9.318471,25630300
2009-08-26,9.330808,9.393939,9.162457,9.372895,9.301764,38556500
