Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,239.389999,241.570007,234.509995,234.899994,234.899994,14201100
2019-07-05,234.570007,235.449997,230.800003,233.100006,233.100006,7065700
2019-07-08,231.240005,232.250000,228.660004,230.339996,230.339996,5880500
2019-07-09,228.970001,231.000000,227.279999,230.059998,230.059998,6190800
2019-07-10,234.149994,238.940002,233.139999,238.919998,238.919998,9145700
2019-07-11,238.139999,241.500000,235.800003,238.600006,238.600006,7514400
2019-07-12,239.750000,245.380005,239.710007,245.080002,245.080002,9200500
2019-07-15,248.000000,254.419998,244.860001,253.500000,253.500000,11000100
2019-07-16,249.300003,253.529999,247.929993,252.380005,252.380005,8149000
2019-07-17,255.669998,258.309998,253.350006,254.860001,254.860001,9764700
2019-07-18,255.050003,255.750000,251.889999,253.539993,253.539993,4764500
2019-07-19,255.690002,259.959991,254.619995,258.179993,258.179993,7048400
2019-07-22,258.750000,262.149994,254.190002,255.679993,255.679993,6842400
2019-07-23,256.709991,260.480011,254.500000,260.170013,260.170013,5023100
2019-07-24,259.170013,266.070007,258.160004,264.880005,264.880005,11072800
2019-07-25,233.500000,234.500000,225.550003,228.820007,228.820007,22418300
2019-07-26,226.919998,230.259995,222.250000,228.039993,228.039993,10027700
2019-07-29,227.089996,235.940002,226.029999,235.770004,235.770004,9273300
2019-07-30,232.899994,243.360001,232.179993,242.259995,242.259995,8109000
2019-07-31,243.000000,246.679993,236.649994,241.610001,241.610001,9178200
2019-08-01,242.649994,244.509995,231.770004,233.850006,233.850006,8259500
2019-08-02,231.350006,236.270004,229.229996,234.339996,234.339996,6100400
